EI-10201A,LIC10201,FIC-10203,FIC-10101,TI-11701,PDIC-10102,LIC-10101,TI-10403,PIC-10201,PIC-10101,FI-10302
12.78286,167.0391,61.75866,62.77355,34.3,0.0561,172.0256,206.3,1.288376,1.399376,62.17279
12.78286,167.0699,61.63483,62.83989,34.4,0.0551,172.001,206.3,1.288376,1.398183,62.26502
12.77635,167.1744,61.63978,62.61155,34.3,0.056,172.1916,206.3,1.288051,1.397966,62.69361
12.77743,167.1313,61.48589,62.66975,34.3,0.0556,172.0194,206.3,1.288376,1.397748,62.76956
12.76224,167.1621,61.56536,62.56162,34.3,0.0557,172.0686,206.3,1.288376,1.398834,63.39346
12.77526,167.1621,61.61003,62.47831,34.3,0.056,172.2531,206.3,1.288051,1.398291,63.07337
12.78069,167.119,61.65961,62.56995,34.3,0.0556,172.1486,206.3,1.288376,1.39764,62.83466
12.78069,167.1436,61.77351,62.93512,34.3,0.0563,172.0194,206.3,1.288485,1.398508,63.1439
12.76007,167.1129,61.64474,63.04675,34.3,0.0561,171.9702,206.3,1.289027,1.399376,62.54713
12.76224,167.1313,61.63483,62.51165,34.3,0.0561,171.7735,206.3,1.28957,1.400136,63.1222
12.77092,167.1436,61.74876,62.87717,34.3,0.0561,171.9149,206.3,1.288702,1.399376,62.68818
12.77092,167.119,62.08442,63.31876,34.3,0.0562,171.8657,206.3,1.289136,1.399051,62.9269
12.78286,167.0821,61.85756,63.04261,34.3,0.0557,171.6321,206.2,1.288376,1.398508,62.55798
12.78937,167.0576,61.94149,62.83989,34.3,0.0559,171.8042,206.2,1.289136,1.399051,63.11678
12.78937,167.076,61.94149,63.1293,34.3,0.0556,171.6936,206.2,1.288919,1.399376,62.97029
12.76224,167.0821,62.03517,62.9434,34.3,0.0557,171.8473,206.2,1.288702,1.399051,62.76956
12.75681,167.0699,61.49086,62.40742,34.3,0.0554,171.8657,206.2,1.289136,1.399593,62.81839
12.76115,167.1313,61.6497,62.41994,34.3,0.0565,171.8042,206.2,1.289027,1.400244,62.79669
12.75681,167.1436,61.83285,63.00543,34.3,0.0557,171.835,206.2,1.288485,1.399593,62.93232
12.78286,167.1621,61.87238,62.96822,34.3,0.056,171.7858,206.2,1.288702,1.399051,63.39346
12.78394,167.1436,61.96616,63.24881,34.3,0.0561,172.0256,206.2,1.288702,1.39981,62.95402
12.78286,167.1375,61.7933,62.70714,34.2,0.0561,171.9088,206.2,1.288159,1.398291,62.11854
12.78611,166.8608,61.81308,62.92685,34.3,0.0561,171.9579,206.2,1.287834,1.396663,62.72616
12.77851,166.7809,62.11394,62.89373,34.3,0.0559,171.9149,206.2,1.287508,1.397097,63.12762
12.77526,166.8854,61.97109,63.02609,34.3,0.056,171.835,206.2,1.287508,1.397423,63.0354
12.78394,166.9653,61.84768,62.74035,34.3,0.056,171.8473,206.2,1.288919,1.399376,63.61047
12.76007,167.0821,61.91681,63.05088,34.3,0.0559,171.6505,206.2,1.288594,1.399051,62.84552
12.77092,167.0268,61.52564,62.42828,34.3,0.0561,171.6874,206.1,1.287834,1.397532,63.66472
12.78394,167.0145,61.60011,62.50749,34.3,0.0559,171.8042,206.2,1.287074,1.397966,62.4766
12.77526,166.9838,61.34157,62.44496,34.3,0.0554,171.9579,206.2,1.289461,1.39981,63.12762
12.76658,167.0145,61.47594,62.65313,34.3,0.0558,171.9702,206.2,1.289461,1.400244,62.93774
12.76007,167.0207,61.8625,63.28997,34.3,0.0555,172.0809,206.2,1.288159,1.398834,62.66648
12.77309,167.0576,61.71906,62.95581,34.3,0.0557,171.7858,206.2,1.288376,1.398617,63.17645
12.77201,166.9838,61.49086,62.56162,34.3,0.0553,171.9149,206.2,1.287617,1.398725,62.85637
12.78937,167.0207,61.47594,62.56162,34.3,0.0556,171.9456,206.2,1.288702,1.399159,63.01369
12.77851,167.076,61.41626,62.66559,34.3,0.056,171.7735,206.2,1.289461,1.39981,62.78041
12.78286,167.0268,61.61499,62.62403,34.3,0.056,171.7796,206.3,1.288376,1.399159,63.06795
12.75464,167.0084,61.59514,62.56578,34.3,0.056,171.878,206.3,1.288159,1.398834,62.69904
12.75681,167.1621,61.92175,63.03022,34.3,0.0563,171.8842,206.3,1.288702,1.398508,62.80211
12.74813,167.119,61.90695,62.60323,34.3,0.0558,171.7612,206.3,1.289461,1.399051,62.69904
12.76766,167.0576,61.74382,62.66975,34.3,0.0558,171.9088,206.3,1.288919,1.398834,63.11678
12.77743,167.0576,61.63978,62.87717,34.3,0.0555,171.7489,206.3,1.288051,1.398291,63.12762
12.78394,167.0699,61.57033,62.52415,34.3,0.0559,171.7735,206.3,1.288051,1.399376,63.1873
12.76441,167.0453,61.65961,62.45747,34.3,0.0558,171.6198,206.3,1.288051,1.397532,62.60138
12.77743,167.0391,62.04502,63.19527,34.3,0.0556,171.712,206.3,1.287834,1.39764,63.01912
12.78286,167.0453,61.46103,62.59075,34.2,0.0554,171.7243,206.3,1.288485,1.398508,63.09507
12.76766,167.0821,61.78835,62.62818,34.3,0.056,171.7796,206.3,1.288594,1.399051,62.29214
12.78611,167.0453,61.59514,62.44913,34.1,0.0563,171.7919,206.3,1.288594,1.398508,62.63393
12.77526,167.0699,61.83779,63.12518,34.2,0.056,171.7735,206.3,1.289679,1.399702,62.95402
12.77851,167.0207,62.05487,62.98476,34.2,0.0557,171.6813,206.3,1.289136,1.399159,62.95402
12.76441,166.9653,62.01545,62.91444,34.3,0.0564,171.5952,206.3,1.290112,1.400244,62.87264
12.76007,167.076,61.6943,62.60739,34.2,0.0561,171.7182,206.3,1.288485,1.398834,62.24874
12.77743,167.0268,61.60011,62.63234,34.2,0.0562,171.7858,206.3,1.288485,1.397966,63.24155
12.77526,166.9899,61.68439,62.59491,34.2,0.056,171.9579,206.3,1.289245,1.399268,63.56164
12.78394,167.0084,61.98588,62.98889,34.2,0.0557,171.6936,206.3,1.289136,1.399702,62.65563
12.77309,167.0207,61.6943,62.40325,34.2,0.0556,171.6936,206.3,1.289461,1.399159,62.57426
12.76224,166.9776,61.63978,62.52831,34.3,0.0555,171.712,206.3,1.289679,1.39981,63.22528
12.76549,166.9961,61.83779,62.58659,34.2,0.056,171.589,206.3,1.288159,1.397966,61.73877
12.76549,167.0084,61.98588,62.92685,34.3,0.0563,171.503,206.3,1.288159,1.398074,62.53628
12.76766,167.0207,61.66457,62.86474,34.3,0.0557,171.5767,206.3,1.288051,1.397966,62.49288
12.77526,167.0699,61.61499,62.52415,34.3,0.0554,171.4661,206.3,1.289027,1.39981,62.25417
12.77526,166.9899,61.6497,62.53248,34.3,0.0561,171.5337,206.3,1.289461,1.399702,62.66106
12.77309,167.0699,61.88225,62.61155,34.3,0.0563,171.4722,206.3,1.289679,1.39981,63.43144
12.77526,166.9899,61.91681,62.69883,34.1,0.0559,171.5337,206.3,1.289787,1.399593,62.57426
12.77851,167.0084,61.79824,62.98476,34.3,0.0562,171.4968,206.3,1.288919,1.398725,63.35006
12.77743,167.0084,61.73887,62.69053,34.3,0.0556,171.7551,206.3,1.287074,1.397532,62.23247
12.78394,166.9776,61.64474,62.68637,34.3,0.0559,171.6198,206.3,1.289136,1.399051,62.992
12.75573,166.9961,61.7834,62.82331,34.2,0.0558,171.6321,206.3,1.289136,1.398725,62.22162
12.76766,167.0207,62.08442,62.92271,34.3,0.0554,171.5276,206.3,1.287942,1.398291,62.79669
12.77092,167.0699,61.92175,63.06327,34.3,0.0553,171.5276,206.3,1.288702,1.399051,63.05167
12.76766,167.0084,61.64474,62.41994,34.2,0.0559,171.5399,206.3,1.288051,1.397532,62.4766
12.77309,167.0453,61.80813,63.07152,34.3,0.055156,171.5153,206.3,1.289136,1.399051,62.58511
12.78394,166.9346,61.74876,62.7362,34.3,0.0563,171.5767,206.3,1.288485,1.398183,62.57426
12.77526,166.9592,62.06472,63.03848,34.2,0.0558,171.6997,206.3,1.288485,1.398291,62.79126
12.77309,166.9284,61.81308,62.79843,34.2,0.0561,171.6505,206.3,1.289136,1.398834,63.25241
12.76766,166.9776,61.93163,62.91444,34.2,0.0559,171.546,206.3,1.289136,1.399593,63.14933
12.77309,166.9899,62.0056,63.21175,34.2,0.0552,171.6936,206.3,1.289679,1.399919,62.82381
12.76658,167.0453,61.71411,62.94754,34.2,0.0554,171.5952,206.3,1.28957,1.398725,63.39888
12.77201,166.8977,61.67448,62.7279,34.3,0.0561,171.6567,206.3,1.288485,1.399051,62.66648
12.76658,166.9776,61.65961,62.4408,34.3,0.0556,171.5767,206.3,1.289245,1.399919,62.41692
12.77201,166.9223,61.93163,63.01783,34.3,0.0556,171.38,206.3,1.289461,1.399051,62.95945
12.76766,166.9161,61.94642,63.19527,34.3,0.0552,171.6628,206.3,1.289136,1.399159,63.15475
12.76766,166.953,61.70916,62.69468,34.3,0.0557,171.5952,206.4,1.28957,1.400461,62.58511
12.77309,166.953,62.0056,62.98476,34.3,0.0562,171.546,206.3,1.289461,1.399919,62.67191
12.76224,166.8977,61.74876,63.19114,34.3,0.056,171.6259,206.4,1.290112,1.400136,63.00827
12.77851,166.9961,61.49583,62.71129,34.3,0.0558,171.6936,206.4,1.289787,1.399702,63.01369
12.77309,166.953,61.99081,63.19114,34.3,0.0559,171.8042,206.4,1.290547,1.401438,62.60681
12.76766,166.9653,61.90695,63.1128,34.2,0.0561,171.7612,206.4,1.290764,1.400353,63.40431
12.77526,166.953,61.49086,62.44913,34.2,0.0559,171.7551,206.4,1.291306,1.401004,62.68818
12.77092,166.9284,61.49086,62.67391,34.2,0.0561,171.6198,206.4,1.29033,1.400787,62.63936
12.76766,166.9469,61.61003,62.46581,34.2,0.0563,171.7305,206.4,1.291089,1.401004,62.61223
12.76224,166.953,61.42621,62.5408,34.2,0.0558,171.7243,206.4,1.290547,1.400787,63.35006
12.77851,166.953,61.43616,62.6365,34.2,0.0559,171.6997,206.4,1.28957,1.401004,62.86179
12.7872,166.953,61.49583,62.56162,34.2,0.0557,171.6874,206.4,1.289679,1.399268,62.81839
12.79479,166.9776,61.68935,62.56578,34.3,0.0549,171.7428,206.4,1.289461,1.399593,62.59053
12.78611,166.8546,61.68935,62.60739,34.2,0.0556,171.6075,206.4,1.28957,1.399159,62.2813
12.7872,166.9469,61.92175,62.91444,34.2,0.0554,171.6013,206.3,1.290112,1.400787,63.28496
12.76441,166.9223,61.77351,62.77769,34.2,0.0557,171.5337,206.5,1.290112,1.399051,62.43863
12.78069,166.8977,61.63978,62.62818,34.3,0.0556,171.5153,206.5,1.289461,1.399593,63.11678
12.78286,166.8915,61.31167,62.31137,34.1,0.0559,171.4722,206.6,1.289787,1.400353,62.96487
